CPU: 0, Memory: 67.35791778564453
CPU: 3.4683780670166016, Memory: 67.39286804199219
CPU: 5.272253036499023, Memory: 67.39385223388672
CPU: 7.639894008636475, Memory: 67.59818267822266
CPU: 7.921885013580322, Memory: 67.53330993652344
CPU: 5.366144180297852, Memory: 67.45895385742188
CPU: 6.256512641906738, Memory: 67.45315551757812
CPU: 9.332866668701172, Memory: 67.4852294921875
CPU: 6.112002849578857, Memory: 67.49015808105469
CPU: 3.4125077724456787, Memory: 67.50121307373047
CPU: 2.4462881088256836, Memory: 67.48355865478516
CPU: 7.645716190338135, Memory: 67.41822052001953
CPU: 9.918465614318848, Memory: 67.44534301757812
CPU: 6.826261043548584, Memory: 67.43144226074219
CPU: 8.108817100524902, Memory: 67.43465423583984
CPU: 7.568012714385986, Memory: 67.41766357421875
CPU: 5.2239203453063965, Memory: 67.36894226074219
